,x0,y0,x1,y1
0,1822,1165,2043,1250
1,1932,1028,2080,1067
2,2301,1156,2523,1225
3,2707,1182,3142,1284
4,3039,1421,3320,1515
5,3253,1523,3519,1643
6,2980,1694,3187,1788
7,3187,1754,3327,1861
8,3135,1925,3393,2019
9,3002,1959,3120,2053
10,3069,2083,3187,2164
11,2294,1643,2670,1711
12,590,1276,715,1344
13,619,1404,826,1438
14,1254,1673,1475,1737
15,1755,1801,1903,1873
16,1792,1878,1925,1950
17,2456,1873,2678,1972
18,2346,1963,2537,2078
19,2449,2078,2545,2159
20,2596,2108,2729,2194
21,1682,2014,1932,2044
22,1446,1899,1571,1972
23,1372,1933,1446,1976
24,1696,2070,1844,2112
