,class,x,y,w,h
0,t,3269,1738,221,85
1,t,2789,1763,222,69
2,t,2170,1704,435,102
3,t,1992,1473,281,94
4,t,1793,1345,266,120
5,t,2125,1200,207,94
6,t,1985,1127,140,107
7,t,1919,969,258,94
8,t,2192,935,118,94
9,t,2125,824,118,81
10,t,2642,1277,376,68
11,t,4597,1644,125,68
12,t,4486,1550,207,34
13,t,3837,1251,221,64
14,t,3409,1115,148,72
15,t,3387,1038,133,72
16,t,2634,1016,222,99
17,t,2775,910,191,115
18,t,2767,829,96,81
19,t,2583,794,133,86
20,t,3380,944,250,30
21,t,3741,1016,125,73
22,t,3866,1012,74,43
23,t,3468,876,148,42
